Title,Author,Publisher
현대미술 강의 : 순수 미술의 탄생과 죽음,조주연,글항아리 
한번에 통과하는 논문 : 논문 검색과 쓰기 전략,히든그레이스. 논문통계팀,한빛아카데미 
(아무도 알려주지 않는) 예술가 생존법,"Bhandari, Heather Darcy",미진사 
예루살렘의 아이히만,"Arendt, Hannah",한길사 
A little life : a novel First edition,"Yanagihara, Hanya",Doubleday 
한국 현대희곡선,유치진,문학과지성사 
혼자 쓰는 연구 논문 : 연구방법론,김아영,학지사 
"삼체. 2, 암흑의 숲",劉慈欣,단숨 : 자음과모음 
리틀 라이프 : 한야 야나기하라 장편소설,"Yanagihara, Hanya",시공사 
"메리 루이스 프랫, 제국의 시선",김남혁,커뮤니케이션북스 
"해방전( 1940~1945) 공연희곡집. 1, 박영호",박영호,평민사 
구의 증명 : 최진영 소설,최진영,은행나무 
6 : 성동혁 시집,성동혁,민음사 
시골은 그런 것이 아니다,丸山健二,바다출판사 
스페인 중세극,안영옥,지식을만드는지식 
한국사,고려대학교. 한국사연구소,새문사 
삼체 : 류츠신 장편 소설,劉慈欣,단숨 : 자음과모음 
파과 : 구병모 장편소설,구병모,자음과모음 
한양가,강명관,신구문화사 
삶을 위한 미술교육 : 미술의 실제적 교수·학습을 중심으로,"Anderson, Tom",예경 
호밀밭의 파수꾼 / 개정판,"Salinger, J. D",현암사 
오이디푸스왕 안티고네 아가멤논 코에포로이 제3판,Sophokles,문예출판사 
(東朗)柳致眞 全集 . 9 : 자서전·서간문,유치진,서울예대출판부 
Dune,"Herbert, Frank",Ace Books 
듄. 1. 제1부 : 듄,"Herbert, Frank",황금가지 
모순 : 양귀자 장편소설,양귀자,살림 
고고학이론 입문,"Patterson, Thomas C",학연문화사 
